name,hex,r,g,b
grl-bonn-blue,#00457c,0,69,124
grl-bonn-yellow,#f2c300,242,195,0
grl-text,#222222,34,34,34
grl-muted,#5f625f,95,98,95
grl-rule,#d7d9d8,215,217,216
grl-background,#ffffff,255,255,255
grl-panel,#f7f9fa,247,249,250
grl-cover-background,#eef2f4,238,242,244
grl-cover-background-deep,#dce4e8,220,228,232
grl-figure-blue-dark,#035172,3,81,114
grl-data-cyan,#5ec8ec,94,200,236
grl-data-cyan-soft,#b9dcf0,185,220,240
grl-data-orange,#ff7900,255,121,0
grl-data-orange-soft,#ffc891,255,200,145
grl-data-green,#2eb82e,46,184,46
grl-data-green-soft,#a9e5aa,169,229,170
grl-link-red,#ff7378,255,115,120
grl-model-blue,#3b82f6,59,130,246
grl-application-green,#10b981,16,185,129
grl-warning-orange,#f59e0b,245,158,11
grl-foundation-purple,#8b5cf6,139,92,246
grl-phase-red,#b02b37,176,43,55
